type,title,director,country,release_year
Movie,Sturgill Simpson Presents Sound & Fury,"Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi",United States,2019
TV Show,The Politician,,United States,2019
Movie,Weeds on Fire,Chi Fat Chan,Hong Kong,2016
Movie,Much Loved,Nabil Ayouch,"France, Morocco",2015
Movie,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez",United States,2000
Movie,Malaal,Mangesh Hadawale,India,2019
Movie,The Grandmaster,Wong Kar Wai,"Hong Kong, China",2013
TV Show,The Inmate,,Mexico,2018
Movie,The Hurricane Heist,Rob Cohen,United States,2018
Movie,Def Comedy Jam 25,Louis J. Horvitz,United States,2017
Movie,Restless Creature: Wendy Whelan,"Linda Saffire, Adam Schlesinger",United States,2016
Movie,Print the Legend,"Luis Lopez, Clay Tweel",United States,2014
Movie,Birders,Otilia Portillo Padua,"United States, Mexico",2019
Movie,Furie,Le Van Kiet,Vietnam,2019
Movie,Leap!,"Eric Summer, Éric Warin","France, Canada",2016
Movie,Oh! Baby (Malayalam),B. V. Nandini Reddy,India,2019
Movie,Oh! Baby (Tamil),B. V. Nandini Reddy,India,2019
Movie,USS Indianapolis: Men of Courage,Mario Van Peebles,United States,2016
Movie,A Wrinkle in Time,Ava DuVernay,United States,2018
Movie,Teach Us All,Sonia Lowman,United States,2017
Movie,White Island,Benjamin Turner,United Kingdom,2016
Movie,Inside Man: Most Wanted,Michael J. Bassett,United States,2019
Movie,Jeff Dunham: Beside Himself,Troy Miller,United States,2019
Movie,China Salesman,Tan Bing,China,2017
Movie,Swearnet: The Movie,Warren P. Sonoda,Canada,2014
Movie,The Bar,Álex de la Iglesia,"Spain, Argentina",2017
Movie,Manmadhudu 2,Rahul Ravindran,India,2019
TV Show,Team Kaylie,,,2019
Movie,Under the Eiffel Tower,Archie Borders,United States,2018
Movie,Audrie & Daisy,"Bonni Cohen, Jon Shenk",United States,2016
